a,b,la,lb
<http://bk.sport.owl#marvelous-nakamba>,<http://bk.sport.owl#vitesse-arnhem>,"Marvelous Nakamba"@en,"Vitesse Arnhem"@en
<http://bk.sport.owl#marvelous-nakamba>,<http://bk.sport.owl#vitesse-arnhem>,"marvelous nakamba"@en,"Vitesse Arnhem"@en
<http://bk.sport.owl#marvelous-nakamba>,<http://bk.sport.owl#vitesse-arnhem-fc>,"Marvelous Nakamba"@en,"Vitesse Arnhem"@en
<http://bk.sport.owl#marvelous-nakamba>,<http://bk.sport.owl#vitesse-arnhem-fc>,"marvelous nakamba"@en,"Vitesse Arnhem"@en
<http://bk.sport.owl#celso-borges>,<http://bk.sport.owl#g\u00F6ztepe>,"Celso Borges"@en,"G\u00F6ztepe"@en
<http://bk.sport.owl#celso-borges>,<http://bk.sport.owl#g\u00F6ztepe>,"celso borges"@en,"G\u00F6ztepe"@en
<http://bk.sport.owl#celso-borges>,<http://bk.sport.owl#g\u00F6ztepe>,"Borges","G\u00F6ztepe"@en
<http://bk.sport.owl#carlos-ascues>,<http://bk.sport.owl#vfl-wolfsburg>,"Ascues","VfL Wolfsburg"@en
<http://bk.sport.owl#unai-sim\u00F3n>,<http://bk.sport.owl#athletic-bilbao>,"Unai Sim\u00F3n"@en,"Athletic Bilbao"@en
<http://bk.sport.owl#alexandru-paun>,<http://bk.sport.owl#cfr-cluj>,"Alexandru Paun"@en,"CFR Cluj"@en
<http://bk.sport.owl#alexandru-paun>,<http://bk.sport.owl#cfr-cluj>,"alexandru paun"@en,"CFR Cluj"@en
<http://bk.sport.owl#racine-coly>,<http://bk.sport.owl#ogc-nice>,"racine coly"@en,"OGC Nice"@en
<http://bk.sport.owl#racine-coly>,<http://bk.sport.owl#ogc-nice>,"Racine Coly"@en,"OGC Nice"@en
<http://bk.sport.owl#micha\u00EBl-heylen>,<http://bk.sport.owl#sv-zulte-waregem>,"Micha\u00EBl Heylen"@en,"SV Zulte Waregem"@en
<http://bk.sport.owl#nicolas-n-koulou>,<http://bk.sport.owl#olympique-marseille>,"N'Koulou","Olympique Marseille"@en
<http://bk.sport.owl#andrea-ranocchia>,<http://bk.sport.owl#inter-milan>,"Andrea Ranocchia"@en,"Inter Milan"@en
<http://bk.sport.owl#andrea-ranocchia>,<http://bk.sport.owl#inter-milan>,"andrea ranocchia"@en,"Inter Milan"@en
<http://bk.sport.owl#andrea-ranocchia>,<http://bk.sport.owl#inter-milan>,"Ranocchia","Inter Milan"@en
<http://bk.sport.owl#joel-untersee>,<http://bk.sport.owl#fc-empoli-\u00A0>,"joel untersee"@en,"FC Empoli \u00A0"@en
<http://bk.sport.owl#joel-untersee>,<http://bk.sport.owl#fc-empoli-\u00A0>,"Joel Untersee"@en,"FC Empoli \u00A0"@en
<http://bk.sport.owl#joel-untersee>,<http://bk.sport.owl#fc-z\u00FCrich>,"joel untersee"@en,"FC Z\u00FCrich"@en
<http://bk.sport.owl#joel-untersee>,<http://bk.sport.owl#fc-z\u00FCrich>,"Joel Untersee"@en,"FC Z\u00FCrich"@en
<http://bk.sport.owl#juan-camara>,<http://bk.sport.owl#miedz-legnica-\u00A0>,"juan camara"@en,"Miedz Legnica \u00A0"@en
<http://bk.sport.owl#kepa>,<http://bk.sport.owl#chelsea>,"kepa"@en,"Chelsea"@en
<http://bk.sport.owl#kepa>,<http://bk.sport.owl#chelsea>,"kepa"@en,"Chelsea FC"@en
<http://bk.sport.owl#kepa>,<http://bk.sport.owl#chelsea>,"Kepa"@en,"Chelsea"@en
<http://bk.sport.owl#kepa>,<http://bk.sport.owl#chelsea>,"Kepa"@en,"Chelsea FC"@en
<http://bk.sport.owl#tarik-camdal>,<http://bk.sport.owl#antalyaspor>,"Tarik Camdal"@en,"Antalyaspor"@en
<http://bk.sport.owl#tarik-camdal>,<http://bk.sport.owl#antalyaspor>,"tarik camdal"@en,"Antalyaspor"@en
<http://bk.sport.owl#tarik-camdal>,<http://bk.sport.owl#galatasaray-sk>,"Tarik Camdal"@en,"Galatasaray SK"@en
<http://bk.sport.owl#tarik-camdal>,<http://bk.sport.owl#galatasaray-sk>,"tarik camdal"@en,"Galatasaray SK"@en
<http://bk.sport.owl#roman-zobnin>,<http://bk.sport.owl#spartak-moscow>,"Roman Zobnin"@en,"Spartak Moscow"@en
<http://bk.sport.owl#roman-zobnin>,<http://bk.sport.owl#spartak-moscow>,"roman zobnin"@en,"Spartak Moscow"@en
<http://bk.sport.owl#dominik-dinga>,<http://bk.sport.owl#ural-yekaterinburg>,"dominik dinga"@en,"Ural Yekaterinburg"@en
<http://bk.sport.owl#dominik-dinga>,<http://bk.sport.owl#ural-yekaterinburg>,"Dominik Dinga"@en,"Ural Yekaterinburg"@en
<http://bk.sport.owl#raffael>,<http://bk.sport.owl#borussia-monchengladbach>,"raffael"@en,"Borussia Monchengladbach"@en
<http://bk.sport.owl#raffael>,<http://bk.sport.owl#borussia-monchengladbach>,"Raffael"@en,"Borussia Monchengladbach"@en
<http://bk.sport.owl#raffael>,<http://bk.sport.owl#borussia-monchengladbach>,"Raffael","Borussia Monchengladbach"@en
<http://bk.sport.owl#raffael>,<http://bk.sport.owl#borussia-m\u00F6nchengladbach>,"raffael"@en,"Borussia M\u00F6nchengladbach"@en
