a,la
<http://bk.sport.owl#jean-armel-kana-biyik>,"Kana-Biyik"
<http://bk.sport.owl#christos-tasoulis>,"christos tasoulis"@en
<http://bk.sport.owl#christos-tasoulis>,"Christos Tasoulis"@en
<http://bk.sport.owl#bojan-bojic>,"bojan bojic"@en
<http://bk.sport.owl#bojan-bojic>,"Bojan Bojic"@en
<http://bk.sport.owl#zlatko-dedic>,"Zlatko Dedic"@en
<http://bk.sport.owl#zlatko-dedic>,"zlatko dedic"@en
<http://bk.sport.owl#pablo-fornals>,"pablo fornals"@en
<http://bk.sport.owl#pablo-fornals>,"Pablo Fornals"@en
<http://bk.sport.owl#pontus-almqvist>,"pontus almqvist"@en
<http://bk.sport.owl#gyrano-kerk>,"gyrano kerk"@en
<http://bk.sport.owl#gyrano-kerk>,"Gyrano Kerk"@en
<http://bk.sport.owl#matty-kennedy>,"Matty Kennedy"@en
<http://bk.sport.owl#matty-kennedy>,"matty kennedy"@en
<http://bk.sport.owl#rodin-deprem>,"Rodin Deprem"@en
<http://bk.sport.owl#rodin-deprem>,"rodin deprem"@en
<http://bk.sport.owl#behrang-safari>,"Behrang Safari"@en
<http://bk.sport.owl#behrang-safari>,"behrang safari"@en
<http://bk.sport.owl#odise-roshi>,"odise roshi"@en
<http://bk.sport.owl#odise-roshi>,"Odise Roshi"@en
<http://bk.sport.owl#shani-tarashaj>,"shani tarashaj"@en
<http://bk.sport.owl#shani-tarashaj>,"Shani Tarashaj"@en
<http://bk.sport.owl#gary-medel>,"gary medel"@en
<http://bk.sport.owl#gary-medel>,"Gary Medel"@en
<http://bk.sport.owl#gary-medel>,"Medel"
<http://bk.sport.owl#wolke-janssens>,"wolke janssens"@en
<http://bk.sport.owl#wolke-janssens>,"Wolke Janssens"@en
<http://bk.sport.owl#enric-gallego>,"enric gallego"@en
<http://bk.sport.owl#adama-traore>,"Adama Traore"@en
<http://bk.sport.owl#adama-traore>,"adama traore"@en
<http://bk.sport.owl#tim-sparv>,"tim sparv"@en
<http://bk.sport.owl#euclides-cabral>,"euclides cabral"@en
<http://bk.sport.owl#maksym-kuchynskyi>,"maksym kuchynskyi"@en
<http://bk.sport.owl#diego-reyes>,"diego reyes"@en
<http://bk.sport.owl#diego-reyes>,"Diego Reyes"@en
<http://bk.sport.owl#diego-reyes>,"Reyes"
<http://bk.sport.owl#jan-kopic>,"jan kopic"@en
<http://bk.sport.owl#jan-kopic>,"Jan Kopic"@en
<http://bk.sport.owl#kristiyan-malinov>,"Kristiyan Malinov"@en
<http://bk.sport.owl#kristiyan-malinov>,"kristiyan malinov"@en
<http://bk.sport.owl#fethi-harek>,"fethi harek"@en
<http://bk.sport.owl#daniel-dziwniel>,"daniel dziwniel"@en
<http://bk.sport.owl#daniel-dziwniel>,"Daniel Dziwniel"@en
<http://bk.sport.owl#geferson>,"Geferson"@en
<http://bk.sport.owl#geferson>,"geferson"@en
<http://bk.sport.owl#giacomo-raspadori>,"Giacomo Raspadori"@en
<http://bk.sport.owl#giacomo-raspadori>,"giacomo raspadori"@en
<http://bk.sport.owl#david-texeira>,"David Texeira"@en
<http://bk.sport.owl#david-texeira>,"david texeira"@en
<http://bk.sport.owl#plamen-dimov>,"Plamen Dimov"@en
<http://bk.sport.owl#plamen-dimov>,"plamen dimov"@en
